Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Hertha BSC,45,25.2,22,€3.46m,€155.78m,Bundesliga,2021
,1.FSV Mainz 05,34,25.5,18,€3.85m,€131.03m,Bundesliga,2021
,1.FC Union Berlin,40,27.1,15,€2.90m,€115.90m,Bundesliga,2021
,1.FC Köln,31,25.8,13,€3.20m,€99.28m,Bundesliga,2021
,FC Augsburg,32,26.0,20,€2.98m,€95.30m,Bundesliga,2021
,Arminia Bielefeld,34,25.1,20,€1.94m,€65.85m,Bundesliga,2021
,VfL Bochum,33,27.7,17,€1.58m,€52.25m,Bundesliga,2021
,SpVgg Greuther Fürth,34,25.1,16,€1.09m,€36.95m,Bundesliga,2021
,Bayern Munich,35,25.7,22,€27.11m,€948.95m,Bundesliga,2022
,Borussia Dortmund,37,25.1,19,€15.34m,€567.55m,Bundesliga,2022
,RB Leipzig,29,26.0,19,€16.77m,€486.40m,Bundesliga,2022
,Bayer 04 Leverkusen,35,24.8,25,€12.93m,€452.50m,Bundesliga,2022
,Eintracht Frankfurt,36,25.6,22,€9.02m,€324.55m,Bundesliga,2022
,Borussia Mönchengladbach,35,25.9,16,€6.91m,€241.68m,Bundesliga,2022
,VfL Wolfsburg,33,25.1,20,€7.22m,€238.30m,Bundesliga,2022
,SC Freiburg,29,26.5,11,€6.93m,€200.95m,Bundesliga,2022
,TSG 1899 Hoffenheim,37,26.2,22,€4.83m,€178.80m,Bundesliga,2022
,1.FC Union Berlin,36,27.4,17,€4.39m,€157.95m,Bundesliga,2022
,VfB Stuttgart,39,23.7,23,€3.87m,€151.05m,Bundesliga,2022
,1.FSV Mainz 05,34,25.2,17,€3.99m,€135.80m,Bundesliga,2022
,FC Augsburg,42,25.6,25,€3.15m,€132.23m,Bundesliga,2022
,1.FC Köln,39,25.4,16,€2.97m,€115.65m,Bundesliga,2022
,Hertha BSC,41,25.8,24,€2.29m,€94.00m,Bundesliga,2022
,SV Werder Bremen,33,25.2,12,€2.71m,€89.50m,Bundesliga,2022
,FC Schalke 04,43,26.9,22,€2.04m,€87.78m,Bundesliga,2022
,VfL Bochum,32,28.3,18,€1.68m,€53.70m,Bundesliga,2022
,Bayern Munich,39,25.2,23,€24.75m,€965.15m,Bundesliga,2023
,Bayer 04 Leverkusen,32,24.9,23,€20.57m,€658.35m,Bundesliga,2023
,RB Leipzig,32,25.2,22,€17.04m,€545.40m,Bundesliga,2023
,Borussia Dortmund,36,25.6,17,€13.74m,€494.80m,Bundesliga,2023
,VfB Stuttgart,38,24.4,19,€9.12m,€346.63m,Bundesliga,2023
,Eintracht Frankfurt,46,24.7,28,€7.10m,€326.65m,Bundesliga,2023
,VfL Wolfsburg,33,25.0,20,€6.26m,€206.45m,Bundesliga,2023
,SC Freiburg,34,26.3,13,€5.30m,€180.35m,Bundesliga,2023
,TSG 1899 Hoffenheim,34,26.1,14,€5.18m,€176.00m,Bundesliga,2023
,Borussia Mönchengladbach,33,26.0,18,€5.01m,€165.23m,Bundesliga,2023
,1.FC Union Berlin,35,27.5,20,€4.60m,€160.95m,Bundesliga,2023
